--------------------------------------------------------------------------------------------------------------
|     Flight no.      |      Altitude       |      Velocity       |       Course        |    Position x,y     |
--------------------------------------------------------------------------------------------------------------
|       USB606        |       9500 m.       |     135,26 m/s      |      331,78 °       |     44641,57791     |
|       FWI535        |       4800 m.       |     123,35 m/s      |       44,05 °       |     69897,16099     |
|       AKK882        |      19500 m.       |      89,42 m/s      |      315,66 °       |     43191,82320     |
|       KOO528        |      10700 m.       |     109,67 m/s      |      235,26 °       |     74251,54483     |
|       UDW061        |       6000 m.       |      79,94 m/s      |      306,87 °       |     26558,51809     |
|       HJV335        |       2600 m.       |     201,57 m/s      |      146,77 °       |     56246,26908     |
|       JFP418        |       3700 m.       |      105,7 m/s      |       328,5 °       |     43519,62370     |
|       LGM712        |       2700 m.       |     133,89 m/s      |      159,01 °       |     47573,28698     |
|       MUF152        |      15300 m.       |     196,44 m/s      |       227,1 °       |     48188,23944     |
|       WTK282        |       4400 m.       |     212,92 m/s      |       231,1 °       |     52551,31029     |
|       IHA166        |      18900 m.       |     266,89 m/s      |        33 °         |     79135,61498     |
|       UIR732        |      12200 m.       |      94,52 m/s      |       91,76 °       |     31008,47529     |
|       IYO618        |      17700 m.       |        0 m/s        |         0 °         |     90000,48579     |
|       STS555        |      11600 m.       |     152,34 m/s      |       97,13 °       |     49591,31937     |
|       FAH821        |       600 m.        |     136,43 m/s      |      345,82 °       |     25415,70679     |
|       XIX320        |       2700 m.       |     103,57 m/s      |      355,17 °       |     68616,65246     |
|       NRK014        |      13000 m.       |       257 m/s       |      323,97 °       |     50802,79368     |
|       MUV430        |      11900 m.       |      104,9 m/s      |       93,97 °       |     56911,66968     |
|       KGV427        |       6000 m.       |      96,76 m/s      |      212,74 °       |     33494,49278     |
|       FBW771        |       3000 m.       |     211,96 m/s      |       62,2 °        |     19670,76916     |
|       DTA712        |      14700 m.       |     126,86 m/s      |       18,02 °       |     71414,72593     |
|       DJO182        |      17200 m.       |     139,91 m/s      |      222,47 °       |     14497,44950     |
|       EKY272        |       6300 m.       |      91,98 m/s      |      301,43 °       |     63264,10362     |
|       BDU452        |      10500 m.       |     253,51 m/s      |      282,92 °       |     41147,83268     |
|       OEC703        |       9700 m.       |     207,69 m/s      |      327,87 °       |     23935,72651     |
|       OYM727        |       6600 m.       |     180,03 m/s      |       158,2 °       |     56976,51433     |
|       ENA851        |       6600 m.       |     270,28 m/s      |       17,85 °       |     73379,56549     |
|       MIO326        |      17600 m.       |     188,77 m/s      |      279,75 °       |     24640,76531     |
|       MLK433        |      12900 m.       |     124,19 m/s      |      325,01 °       |     62829,70744     |
|       STN884        |       4500 m.       |     141,76 m/s      |       15,46 °       |     63401,50923     |
|       NBM231        |       4800 m.       |     186,07 m/s      |       180,9 °       |     34660,46539     |
|       PNQ375        |      11100 m.       |      91,52 m/s      |      133,07 °       |     61381,75187     |
|       YFF213        |       2100 m.       |     137,93 m/s      |        209 °        |     42818,65078     |
|       TVC618        |      12000 m.       |      98,16 m/s      |      207,32 °       |     41796,71288     |
|       JDD701        |       1500 m.       |       238 m/s       |      164,78 °       |     60317,27365     |
|       TWT705        |       6100 m.       |     218,34 m/s      |       70,96 °       |     49638,54966     |
|       WRI364        |      17300 m.       |     192,59 m/s      |      341,98 °       |     74556,70175     |
|       UKC515        |      19000 m.       |     222,09 m/s      |      127,02 °       |     56939,78666     |
|       SVM730        |       1500 m.       |     209,09 m/s      |       260,8 °       |     58067,43645     |
|       GWE106        |      10200 m.       |     196,99 m/s      |       5,08 °        |     54441,62361     |
|       IPY580        |       1000 m.       |     198,19 m/s      |      249,84 °       |     66459,49472     |
|       RWM884        |      10200 m.       |     183,58 m/s      |       10,95 °       |     33294,15306     |
|       XNP852        |       2400 m.       |     147,66 m/s      |      159,25 °       |     53868,35461     |
|       DVA062        |      10000 m.       |     185,56 m/s      |       84,16 °       |     46967,65290     |
|       FCU372        |      18600 m.       |     151,46 m/s      |       322,8 °       |     55286,69705     |
|       WIE757        |       8700 m.       |      81,82 m/s      |       77,69 °       |     85233,48244     |
|       SLX164        |      12300 m.       |     279,21 m/s      |      139,01 °       |     41782,27271     |
|       FMN810        |       9900 m.       |     165,35 m/s      |      255,23 °       |     56101,60443     |
|       OOT865        |       7100 m.       |      151,5 m/s      |       86,15 °       |     67446,40193     |
|       CUJ577        |      12900 m.       |     118,81 m/s      |      104,89 °       |     73240,15184     |
|       NMO811        |      18400 m.       |     148,55 m/s      |      343,52 °       |     22704,79862     |
|       IEY055        |      12000 m.       |     115,73 m/s      |      295,28 °       |     43241,51862     |
|       WMQ703        |      16200 m.       |      92,39 m/s      |      335,85 °       |     52299,76750     |
|       VIF116        |      13000 m.       |       108 m/s       |      118,98 °       |     62139,45320     |
|       AJU856        |      10300 m.       |     206,71 m/s      |       43,01 °       |     53150,30603     |
|       MJD437        |       8400 m.       |     121,47 m/s      |      201,04 °       |     24528,49334     |
|       ITJ107        |       2500 m.       |      81,32 m/s      |      118,86 °       |     48723,65727     |
|       VHH170        |       8400 m.       |     154,41 m/s      |      123,09 °       |     68640,34353     |
|       RRL602        |       5300 m.       |     194,71 m/s      |      318,93 °       |     73550,82411     |
--------------------------------------------------------------------------------------------------------------
|                                     Latest update: 19-04-2018 16:57:13                                      |
--------------------------------------------------------------------------------------------------------------
