----------------------------------------------------------------------------------------------------------------
|        Flight no.         |       Separate with       |       Separate date       |       Separate time       |
----------------------------------------------------------------------------------------------------------------
|          MQK708           |          EKN261,          |        19-04-2018         |         15:15:17          |
|          EKN261           |          MQK708,          |        19-04-2018         |         15:15:17          |
|          YKQ782           |          APM174,          |        19-04-2018         |         15:18:06          |
|          APM174           |          YKQ782,          |        19-04-2018         |         15:18:06          |
|          HOK550           |          DXW744,          |        19-04-2018         |         15:18:26          |
|          DXW744           |          HOK550,          |        19-04-2018         |         15:18:26          |
|          YKQ782           |          WAX030,          |        19-04-2018         |         15:19:50          |
|          WAX030           |          YKQ782,          |        19-04-2018         |         15:19:50          |
|          VCM381           |          GMV082,          |        19-04-2018         |         15:20:27          |
|          GMV082           |          VCM381,          |        19-04-2018         |         15:20:27          |
|          LUN546           |          HAS674,          |        19-04-2018         |         15:20:46          |
|          HAS674           |          LUN546,          |        19-04-2018         |         15:20:46          |
|          WSM707           |          LIG825,          |        19-04-2018         |         15:21:58          |
|          LIG825           |          WSM707,          |        19-04-2018         |         15:21:58          |
|          OOS337           |          QKE675,          |        19-04-2018         |         15:23:01          |
|          QKE675           |          OOS337,          |        19-04-2018         |         15:23:01          |
|          HYQ185           |          PKM026,          |        19-04-2018         |         15:23:08          |
|          PKM026           |          HYQ185,          |        19-04-2018         |         15:23:08          |
|          PYU758           |          HCB006,          |        19-04-2018         |         15:27:06          |
|          HCB006           |          PYU758,          |        19-04-2018         |         15:27:06          |
|          FEJ341           |          NMU282,          |        19-04-2018         |         15:27:38          |
|          NMU282           |          FEJ341,          |        19-04-2018         |         15:27:38          |
|          AHL868           |          JDJ614,          |        19-04-2018         |         15:29:53          |
|          JDJ614           |          AHL868,          |        19-04-2018         |         15:29:53          |
|          SPG741           |          SNQ538,          |        19-04-2018         |         15:31:17          |
|          SNQ538           |          SPG741,          |        19-04-2018         |         15:31:17          |
|          XXY536           |          XTO024,          |        19-04-2018         |         15:33:06          |
|          XTO024           |          XXY536,          |        19-04-2018         |         15:33:06          |
|          PRS168           |          DVB816,          |        19-04-2018         |         15:33:58          |
|          DVB816           |          PRS168,          |        19-04-2018         |         15:33:58          |
|          NFU527           |          JMF120,          |        19-04-2018         |         15:34:28          |
|          JMF120           |          NFU527,          |        19-04-2018         |         15:34:28          |
|          SPG741           |          QCX142,          |        19-04-2018         |         15:34:33          |
